,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
gender,1.0,-0.0018737116382603585,-0.001808079661789092,0.010516611922734686,0.005106222619949674,-0.006487672136207867,-0.009450534854143402,-0.010380217544535782,-0.014418327918847042,-0.012229521828828723,-0.004719532737387299,-0.009409488752082026,-0.008673418738389069,-0.010010716649954253,0.00012574765070902624,-0.011753691221221238,-0.01070867615171421,-0.014569323728666622,-8.030345627874816e-05
SeniorCitizen,-0.0018737116382603585,1.0,0.016478657597413158,-0.21118508849394904,0.016566877681808985,0.008576401079278321,0.11379088121995741,0.2593901005541285,0.08187827913158761,0.144827706838028,0.14029768413766483,0.06745718171891285,0.16718779777756707,0.17646922949936628,-0.1425540803170259,0.15652955931114873,0.03561436967944393,0.22017333857626245,0.10300618407952185
Partner,-0.001808079661789092,0.016478657597413158,1.0,0.4526762829294439,0.3796974611682755,0.01770566322397003,0.11730697201976406,-0.00013188194892546406,0.0913029082777061,0.09075337713588032,0.09866387271500783,0.07655091413198156,0.07978451306019527,0.07509774241270029,0.2948062243608424,-0.014876622287889343,0.14394946325610294,0.09684793625646866,0.31750401805286327
Dependents,0.010516611922734686,-0.21118508849394904,0.4526762829294439,1.0,0.15971233121691844,-0.0017616785446833952,-0.019656791621061563,-0.17963138138496387,-0.029721285882630306,-0.06277451714504224,-0.06907790950325884,-0.04078793463265737,-0.08673936841376943,-0.10147458216032142,0.24318747261125104,-0.11137722919362898,0.04349388615368084,-0.11389023002193653,0.06207819481604465
tenure,0.005106222619949674,0.016566877681808985,0.3796974611682755,0.15971233121691844,1.0,0.008448206732743343,0.2589577034549682,0.033230353066658024,0.23237271060911752,0.25374314290161437,0.25399860291610704,0.23052198460520038,0.20105270427488148,0.20503093032344114,0.6716065492281024,0.006152481598270628,0.36698338949765763,0.24789985628615183,0.8261783979502535
PhoneService,-0.006487672136207867,0.008576401079278321,0.01770566322397003,-0.0017616785446833952,0.008448206732743343,1.0,0.6750695561642602,0.09372028339728178,-0.1599889270691099,-0.1297698607904737,-0.14201216299554079,-0.16192985410367242,-0.10823887905544177,-0.11471468958710683,0.00224737439721048,0.016504805732567716,-0.0017235648082668225,0.24739796321411303,0.11321354444457037
MultipleLines,-0.009450534854143402,0.11379088121995741,0.11730697201976406,-0.019656791621061563,0.2589577034549682,0.6750695561642602,1.0,0.3079881816535908,0.06908530591654007,0.13061929717379456,0.12450235451982541,0.06914853065298525,0.16525352737915994,0.16284070803404255,0.08334276406132078,0.13325478573590183,0.12630252151327315,0.4907001221616373,0.4121035941879044
InternetService,-0.010380217544535782,0.2593901005541285,-0.00013188194892546406,-0.17963138138496387,0.033230353066658024,0.09372028339728178,0.3079881816535908,1.0,0.5823252425734923,0.6587181171341002,0.6630105331878448,0.5860736816098545,0.7256454166476517,0.7230646807926077,-0.2901893585672705,0.3781081005394814,0.11395121196068535,0.9054911208687038,0.4289627463404222
OnlineSecurity,-0.014418327918847042,0.08187827913158761,0.0913029082777061,-0.029721285882630306,0.23237271060911752,-0.1599889270691099,0.06908530591654007,0.5823252425734923,1.0,0.7051660369363875,0.7016900818295964,0.735191233854248,0.6622196168831854,0.6670325446933395,0.01582387525816578,0.1849931155413591,0.1753904413024935,0.6355344720268704,0.4826240943763133
OnlineBackup,-0.012229521828828723,0.144827706838028,0.09075337713588032,-0.06277451714504224,0.25374314290161437,-0.1297698607904737,0.13061929717379456,0.6587181171341002,0.7051660369363875,1.0,0.711335391390061,0.7092155774627256,0.7031674260345643,0.7001583802769349,-0.03540718685585554,0.26071522778562856,0.18193621803643603,0.7104773314510372,0.5372119041669523
